Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
146	Spectrogram 1	1	1473.685	1488.453	821.3	6022.8	Bird	
147	Spectrogram 1	1	1479.484	1485.703	2555.6	6444.4	Bird	
148	Spectrogram 1	1	1483.614	1487.882	1275.4	7072.5	Bird	
149	Spectrogram 1	1	1489.209	1508.835	547.5	6296.6	Bird	
150	Spectrogram 1	1	1495.657	1524.159	2190.1	6570.3	Bird	
151	Spectrogram 1	1	1503.305	1716.159	3633	14642.2	Other animal	
152	Spectrogram 1	1	1510.657	1516.872	1095.1	6205.3	Bird	low
153	Spectrogram 1	1	1519.616	1522.665	730	7482.9	Bird	
154	Spectrogram 1	1	1524.526	1526.437	0	6479.1	Buzz	
155	Spectrogram 1	1	1527.9	1532.636	638.8	6844.1	Bird	low
156	Spectrogram 1	1	1532.169	1534.669	2372.6	6935.4	Bird	
157	Spectrogram 1	1	1535.514	1549.782	912.5	7482.9	Bird	low
158	Spectrogram 1	1	1539.437	1541.104	1825.1	5657.8	Bird	
159	Spectrogram 1	1	1549.388	1551.99	2007.6	6570.3	Bird	
160	Spectrogram 1	1	1551.705	1559.368	1095.1	7026.6	Bird	low
161	Spectrogram 1	1	1559.002	1560.852	2281.4	6479.1	Bird	
162	Spectrogram 1	1	1562.539	1567.522	638.8	5931.6	Bird	low
163	Spectrogram 1	1	1567.583	1573.762	2190.1	5931.6	Bird	
164	Spectrogram 1	1	1572.936	1614.211	730	7391.6	Bird	low
165	Spectrogram 1	1	1624.246	1635.181	912.5	5931.6	Bird	low
166	Spectrogram 1	1	1628.88	1634.104	0	4562.7	Buzz	
167	Spectrogram 1	1	1640.457	1642.287	0	8304.2	Buzz	
168	Spectrogram 1	1	1647.231	1657.002	1642.6	7756.7	Bird	low
169	Spectrogram 1	1	1667.299	1669.717	0	6022.8	Buzz	
170	Spectrogram 1	1	1672.087	1676.417	0	5840.3	Buzz	
171	Spectrogram 1	1	1673.451	1699.498	821.3	9673	Bird	low
172	Spectrogram 1	1	1704.287	1718.006	821.3	9034.2	Bird	low
173	Spectrogram 1	1	1707.508	1712.539	0	3701.5	Buzz	
174	Spectrogram 1	1	1716.342	1745.61	3633	14642.2	Other animal	
175	Spectrogram 1	1	1721.616	1723.14	0	5475.3	Buzz	
176	Spectrogram 1	1	1723.181	1736.067	912.5	9034.2	Bird	low
177	Spectrogram 1	1	1739.23	1746.852	821.3	10129.3	Bird	low
178	Spectrogram 1	1	1752.012	1792.256	3082.6	14422	Other animal	
179	Spectrogram 1	1	1752.217	1757.197	912.5	6661.6	Bird	low
180	Spectrogram 1	1	1759.136	1786.209	1003.8	7300.4	Bird	
181	Spectrogram 1	1	1803.051	1807.482	0	8030.4	Buzz	
182	Spectrogram 1	1	1828.295	1843.112	3963.3	14642.2	Other animal	
183	Spectrogram 1	1	1828.978	1842.978	827.6	5425.3	Bird	low
184	Spectrogram 1	1	1855.559	1857.571	551.7	4046	Bird	low
185	Spectrogram 1	1	1857.746	1967.356	2532.1	15082.6	Other animal	
186	Spectrogram 1	1	1858.153	1875.368	4781.6	9103.4	Bird	
187	Spectrogram 1	1	1876.498	1893.205	4137.9	9011.5	Bird	
188	Spectrogram 1	1	1879.1	1893.612	455	5057.5	Bird	low
189	Spectrogram 1	1	1895.951	1897.201	3448.3	9425.3	Bird	
190	Spectrogram 1	1	1897.449	1904.035	1747.1	7908	Bird	low
191	Spectrogram 1	1	1907.937	1913.181	367.8	5793.1	Bird	low
192	Spectrogram 1	1	1914.848	1926.711	551.7	6252.9	Bird	low
193	Spectrogram 1	1	1920.937	1921.872	5425.3	9471.3	Bird	
194	Spectrogram 1	1	1923.621	1924.942	1931	5517.2	Bird	
195	Spectrogram 1	1	1937.987	1948.312	551.7	5149.4	Bird	low
196	Spectrogram 1	1	1940.568	1942.052	0	5241.4	Buzz	
197	Spectrogram 1	1	1948.487	1951.139	811.6	5057.5	Bird	
198	Spectrogram 1	1	1950.337	1955.479	0	2482.8	Buzz	
199	Spectrogram 1	1	1957.847	1968.03	1159.4	5333.3	Bird	
200	Spectrogram 1	1	1958.385	1971.036	0	3310.3	Buzz	
201	Spectrogram 1	1	1971.383	1980.083	643.7	6896.6	Bird	low
202	Spectrogram 1	1	1981.7	1983.936	0	6069	Buzz	
203	Spectrogram 1	1	1983.957	1999.424	919.5	6896.6	Bird	low
204	Spectrogram 1	1	2001.184	2003.908	0	6712.6	Bird	low
205	Spectrogram 1	1	2005.452	2017.688	827.6	6988.5	Bird	low
206	Spectrogram 1	1	2012.466	2141.978	3027.5	15247.7	Other animal	
207	Spectrogram 1	1	2012.832	2017.588	0	5834.9	Buzz	
208	Spectrogram 1	1	2019.363	2028.204	827.6	6712.6	Bird	low
